cooking_fuel_label,cooking_fuel_type
Electricity,modern
"LPG, natural gas",modern
Liquid gas,modern
Kerosene,modern
"Coal, lignite",traditional
Charcoal,traditional
"Firewood, straw",traditional
Tezek (dung),traditional
Other,other
Not dejure resident,other
LPG/natural gas,modern
Biogas,modern
Coal/lignite,traditional
Firewood/straw,traditional
Dung,traditional
LPG,modern
Natural gas,modern
Biogas,modern
Kerosene,modern
"Coal, lignite",traditional
Charcoal,traditional
Wood,traditional
Straw/shrubs/grass,traditional
Agricultural crop,traditional
Animal dung,traditional
No food cooked in house,other
Not a dejure resident,other
No food cooked in household,other
Crop Residue/Grass,traditional
Straw / shrubs / grass,traditional
No food cooked in HH,other
Gasoline,modern
Do not cook,other
Does not cook,other
other,other
Not a de jure resident,other
Cocinol (gasoline for cooking),modern
Do not cook,other
Natural gas,modern
Propane gas,modern
"Kerosene, oil, cocinol, diesel, gasoline, alcohol",modern
Electricity,modern
"Firewood, charcoal",traditional
Mineral coal,traditional
Disposable material,other
Do not cook,other
Wood chips,traditional
Do not cook,other
Not dejure member,other
Straw/branches/grass,traditional
Agricultural products,traditional
Bio gas,modern
LPG/Natural Gas,modern
LPG/Natural gas,modern
Paraffin,modern
Crop waste,traditional
Traditional firewood/charcoal/dung,traditional
Improved smokeless chulo,traditional
Gas & Kerosene,modern
No cooking,other
Don't cook,other
Cylinder gas,modern
No cocina,other
Kerosene/Paraffin,modern
Electricity from generator,modern
Electricity from other source,modern
Solar energy,modern
Bottled gas,modern
Paraffin/Kerosene,modern
Crops residuals,traditional
Solar,modern
Bottled gas,modern
LPG / Natural gas,modern
Wood,traditional
Straw/shrubs/grass,traditional
Agricultural crop,traditional
Animal dung,traditional
Sawdust,traditional
Not de-jure resident,other
Solar,modern
Wood,traditional
Paraffin,modern
Electricity,modern
Gas,modern
"Charcoal, coal",traditional
Dung,traditional
Other,other
Liquid propane gas,modern
Paraffin/Kerosine,modern
Maize or other crop waste,traditional
Jelly,modern
